customer_id,application_date,age,gender,marital_status,dependents,monthly_income,employment_type,employment_months,requested_amount,loan_term_months,interest_rate,installment,debt_to_income,num_open_loans,num_credit_cards,has_mortgage,channel,region,default_90d
C000913,2023-02-17,39,F,married,4,2136.53,contract,8,20170.08,36,21.98,929.77,0.925,1,1,1,partner,capital,1
C001344,2023-09-22,58,M,divorced,1,4495.55,contract,5,29732.77,12,21.12,3000.92,1.5,6,2,0,branch,south,0
C011713,2024-07-10,37,F,married,2,2431.35,permanent,92,28255.16,48,17.23,994.36,1.119,6,3,0,branch,capital,1
C012595,2024-10-20,62,F,married,3,2879.27,unemployed,3,27876.76,48,22.28,1098.36,1.224,5,0,0,web,capital,0
C013840,2023-10-14,30,F,married,0,4924.88,permanent,249,23562.65,36,21.53,1077.18,0.639,7,1,0,web,capital,1
C001666,2023-03-10,22,F,single,4,2360.77,permanent,350,47532.15,48,17.25,1673.62,1.5,2,7,1,branch,east,0
C006072,2024-02-13,38,M,single,2,6598.34,self_employed,288,59131.54,60,15.47,1747.7,0.847,8,1,0,branch,north,1
C001251,2022-09-22,20,F,widowed,4,1671.65,permanent,27,18171.37,36,13.95,715.95,1.21,0,1,1,partner,north,1
C011825,2023-08-29,25,M,married,5,3100.31,permanent,319,28484.36,12,10.23,2616.44,1.5,1,1,0,branch,south,1
C014291,2023-09-09,30,F,single,1,1317.07,permanent,100,39921.27,24,18.36,2274.07,1.5,4,7,1,call_center,south,0
C004480,2023-08-12,56,M,married,4,1790.39,permanent,27,47616.39,36,20.16,2122.47,1.5,6,3,0,branch,capital,1
C009523,2024-08-02,53,F,divorced,4,3059.18,permanent,0,19492.27,12,8.0,1754.3,1.5,7,1,0,partner,capital,0
C002117,2024-11-17,45,F,married,1,9524.71,contract,28,52500.17,60,15.36,1546.82,0.567,6,1,0,web,south,1
C006284,2022-07-09,66,M,single,1,3501.79,self_employed,74,19443.81,48,17.07,681.61,0.602,0,0,1,branch,north,1
C010947,2024-05-11,52,F,married,2,3798.94,permanent,259,34783.0,48,15.41,1171.17,1.048,1,8,0,branch,north,0
C013047,2024-09-16,69,F,married,4,9494.35,permanent,122,21987.29,48,14.98,732.56,0.251,3,0,0,branch,north,1
C008612,2022-05-18,57,M,single,4,3905.2,permanent,5,17100.57,24,15.57,934.43,0.784,5,3,0,call_center,capital,1
C005371,2024-05-08,61,M,single,3,9062.85,permanent,121,32127.99,48,14.91,1068.6,0.328,10,7,0,call_center,capital,0
C006644,2023-04-21,24,F,single,3,1477.9,permanent,175,34621.73,12,22.07,3522.0,1.5,9,2,0,web,north,1
C000390,2022-06-17,32,F,single,4,3469.29,permanent,126,37491.2,48,15.55,1266.9,1.025,1,7,0,web,capital,1
C008022,2022-10-16,33,M,married,3,10618.28,permanent,75,36140.13,60,19.09,1177.13,0.349,8,3,0,branch,capital,1
C014772,2024-05-14,57,M,married,4,2769.33,permanent,353,30873.6,36,13.11,1194.85,1.1,5,1,1,branch,north,1
C008138,2024-09-23,43,F,single,3,3454.07,self_employed,305,51693.7,36,25.28,2525.02,1.5,4,8,0,branch,capital,0
C000141,2024-12-12,24,F,married,3,5688.26,permanent,57,38955.11,24,18.91,2237.12,1.214,10,7,0,web,capital,1
C002315,2022-09-06,56,M,married,3,1471.87,contract,37,25411.66,36,23.29,1199.17,1.5,0,1,1,branch,south,1
C008627,2024-05-07,24,F,single,2,2389.94,permanent,179,26811.85,48,20.89,1025.25,1.5,1,7,0,branch,north,0
C002739,2023-06-24,46,M,married,1,2474.72,self_employed,237,16696.28,48,15.83,568.14,0.846,1,8,0,partner,capital,1
C003433,2022-08-16,69,F,single,5,4075.03,contract,35,42633.95,36,16.45,1768.62,1.24,9,7,1,branch,east,0
C002638,2024-03-25,62,M,married,5,4097.54,permanent,40,32597.3,60,12.75,889.57,0.748,10,2,1,web,capital,1
C006013,2023-12-21,38,F,married,3,3257.04,unemployed,5,20578.35,24,15.96,1131.19,1.043,1,4,0,branch,east,1
C008619,2022-01-16,63,M,married,4,6600.71,permanent,8,29755.56,48,20.36,1124.86,0.588,3,6,0,partner,capital,0
C008345,2022-11-26,25,F,widowed,1,3298.71,permanent,30,19303.71,36,21.25,878.05,1.038,3,4,0,branch,south,1
C012869,2023-07-25,50,F,single,2,1706.19,permanent,46,41025.63,36,20.31,1834.03,1.5,7,2,0,web,north,0
C002574,2023-03-05,53,M,married,2,3367.31,permanent,185,28087.59,48,23.09,1125.59,0.891,5,3,0,branch,capital,0
C013853,2023-01-09,59,M,married,2,2716.83,permanent,320,25376.29,36,12.83,976.23,0.947,3,5,0,branch,north,0
C010622,2023-04-11,59,M,married,1,2008.32,contract,49,38285.6,36,16.43,1587.68,1.5,10,4,1,call_center,south,0
C004973,2024-07-04,53,M,married,1,3456.34,permanent,219,25683.34,24,19.31,1483.47,1.314,3,7,0,branch,capital,1
C007014,2023-06-28,64,F,married,3,1901.49,permanent,147,20713.78,60,19.19,676.45,1.273,8,2,0,branch,north,1
C007060,2023-06-15,72,M,widowed,1,2084.73,permanent,69,39909.42,36,24.0,1906.66,1.5,7,0,0,partner,west,1
C009008,2023-05-20,75,F,married,4,2039.32,permanent,54,22211.88,48,18.2,799.58,1.208,4,8,0,partner,capital,1
C007255,2022-08-16,18,F,single,0,4262.13,permanent,53,24738.59,36,19.9,1097.35,0.638,7,7,1,partner,south,1
C005300,2024-07-15,57,F,married,1,2007.95,permanent,269,22948.07,60,17.15,710.53,1.025,3,5,0,branch,west,0
C001076,2022-06-29,46,M,married,3,5678.27,permanent,146,35292.74,48,29.15,1592.49,0.809,2,2,0,call_center,capital,0
C012173,2023-07-25,43,F,single,3,3023.47,permanent,319,42027.68,60,20.47,1417.35,1.413,4,7,0,web,north,1
C010147,2024-10-28,24,M,single,2,6341.2,contract,56,31976.82,36,19.56,1409.5,0.803,1,3,1,partner,north,0
C000849,2024-06-16,22,M,single,5,4902.19,permanent,163,29724.34,24,20.39,1743.66,1.034,9,3,1,web,east,1
C012451,2023-12-16,30,F,married,3,4333.49,permanent,74,26684.49,36,14.57,1065.22,0.726,2,5,0,branch,north,1
C006052,2022-06-04,43,F,single,2,4149.97,permanent,40,5000.0,60,16.88,153.67,0.251,1,8,0,partner,capital,1
C003001,2024-05-01,60,M,widowed,5,1638.66,permanent,357,40250.28,36,26.3,2000.34,1.5,7,5,0,web,capital,1
C000453,2023-07-01,70,F,married,1,1869.63,unemployed,0,9572.86,24,12.19,496.11,0.335,0,1,1,branch,capital,0
C007959,2024-11-25,62,M,single,1,3801.55,permanent,57,41745.5,24,12.97,2190.66,1.5,6,3,0,call_center,east,1
C000533,2022-06-20,66,M,single,4,5095.35,self_employed,207,19413.46,36,17.88,828.51,0.496,6,1,0,web,capital,1
C002538,2023-07-01,50,F,divorced,5,3855.96,contract,23,19948.92,36,26.95,1002.16,0.754,7,7,0,partner,north,0
C011306,2023-10-09,41,F,single,4,1628.82,permanent,85,29003.33,48,9.75,839.89,1.389,4,5,1,partner,east,1
C002688,2023-09-11,52,M,married,0,3238.52,permanent,41,27714.22,60,8.0,646.67,0.675,1,2,1,web,capital,1
C002398,2022-11-13,27,M,divorced,0,7820.3,permanent,310,23999.39,60,16.53,730.67,0.392,6,1,0,partner,east,0
C008267,2022-06-04,62,M,divorced,4,2689.63,permanent,113,39637.32,24,14.77,2139.45,1.5,10,3,1,branch,north,1
C002835,2023-03-01,72,M,divorced,3,4332.81,permanent,354,18545.1,60,18.91,601.39,0.277,0,8,0,partner,north,1
C000300,2022-01-24,58,F,single,3,2652.41,permanent,108,9039.35,12,20.58,908.3,1.488,10,4,0,call_center,east,1
C011331,2024-12-23,23,F,widowed,5,7151.66,contract,14,27067.02,60,17.17,838.31,0.398,2,2,1,partner,capital,0
C005712,2024-10-25,57,M,single,1,2446.34,permanent,165,16447.33,12,22.32,1676.54,1.5,9,5,0,branch,capital,1
C006920,2024-05-17,75,F,married,2,1276.03,permanent,185,22727.76,12,20.86,2289.09,1.5,1,8,0,call_center,south,1
C010950,2024-01-18,19,F,married,3,2451.04,self_employed,342,25180.26,36,23.4,1190.44,1.12,2,2,1,partner,east,0
C002527,2023-05-28,26,M,married,0,3401.19,permanent,258,24851.8,48,24.58,1026.74,0.872,6,0,0,partner,capital,1
C011777,2024-03-23,74,F,married,0,3344.71,permanent,255,25221.74,36,13.12,976.31,0.407,10,7,1,partner,capital,0
C002922,2024-04-23,32,M,married,0,2417.04,permanent,357,25762.29,12,9.55,2351.8,1.5,7,8,0,partner,capital,1
C000863,2022-05-12,22,F,married,3,1363.67,self_employed,13,50305.13,36,19.32,2207.23,1.5,10,4,0,branch,capital,1
C011710,2022-02-17,64,F,single,1,4421.61,permanent,188,25189.82,24,12.0,1301.58,0.78,8,2,0,branch,south,0
C007509,2023-11-23,57,F,single,5,1258.19,permanent,123,5000.0,36,17.84,213.24,0.283,10,4,0,web,capital,1
C005912,2023-01-04,63,M,married,0,4927.24,contract,18,39034.14,36,23.1,1835.68,1.087,1,4,0,web,capital,1
C003818,2024-05-29,58,M,single,2,3149.14,permanent,38,12695.73,24,19.2,732.11,0.614,7,1,0,web,north,0
C000783,2022-05-15,44,M,married,5,1956.25,contract,53,32518.42,36,24.31,1561.99,1.5,3,0,0,web,south,1
C009410,2022-05-27,48,M,single,4,2243.6,self_employed,58,20931.94,36,26.73,1047.62,1.259,4,1,0,call_center,south,1
C012860,2022-05-30,52,M,single,4,1587.6,self_employed,216,30292.92,12,18.08,2980.85,1.5,9,2,1,branch,east,1
C007028,2024-11-29,34,M,single,3,2697.95,unemployed,0,23196.97,60,12.11,620.68,0.984,8,6,0,branch,north,1
C013030,2022-06-13,64,F,married,0,1377.05,self_employed,152,25196.63,36,18.75,1093.56,1.5,8,7,0,web,capital,1
C002306,2022-04-16,74,M,divorced,1,3382.16,contract,8,28387.68,60,21.52,982.2,0.695,0,1,1,web,north,1
C001041,2024-02-13,56,F,widowed,3,2236.99,permanent,69,32553.84,36,19.81,1441.66,1.5,1,7,0,web,capital,1
C004477,2024-10-24,37,F,married,1,7891.88,contract,12,30311.86,24,24.02,1869.77,0.682,4,2,0,call_center,capital,0
C013193,2024-05-05,34,M,single,5,5654.74,contract,36,33486.82,48,17.8,1194.34,0.608,4,6,1,web,south,0
C004894,2022-02-23,65,M,widowed,4,1980.84,permanent,309,33182.24,60,9.37,812.01,1.443,1,2,0,call_center,east,0
C004674,2024-08-08,27,F,single,0,4727.04,permanent,312,27107.48,36,17.76,1154.18,0.523,2,6,0,branch,north,0
C007131,2022-12-18,20,F,single,4,9516.54,permanent,314,14300.56,12,14.75,1367.54,0.412,8,2,0,partner,capital,1
C001760,2023-09-29,42,F,single,2,1507.47,self_employed,124,5304.49,48,22.36,209.35,0.627,9,8,0,web,capital,1
C002609,2023-07-31,40,F,single,2,3395.91,permanent,268,12168.82,36,17.17,512.18,0.34,8,4,0,branch,south,1
C003250,2023-03-09,67,M,married,5,1258.27,self_employed,78,17254.24,24,19.83,1004.02,1.5,3,5,0,branch,south,1
C009362,2024-10-30,35,M,married,0,5156.36,contract,16,17039.66,60,20.85,580.02,0.463,5,4,1,web,south,1
C013728,2022-12-22,51,M,married,3,3768.43,unemployed,4,39306.52,48,15.33,1320.9,1.047,7,2,0,partner,capital,0
C003491,2022-04-29,28,F,married,1,1113.85,permanent,280,26691.91,48,15.51,901.17,1.5,8,0,0,partner,south,1
C008327,2022-12-13,68,F,single,2,6107.58,contract,33,46395.44,48,15.73,1574.6,0.879,2,5,0,partner,west,1
C000412,2022-09-09,47,F,single,0,1812.93,self_employed,230,44529.26,12,24.28,4611.87,1.5,5,2,0,branch,east,1
C012009,2023-07-13,19,F,single,2,2674.34,permanent,211,38524.5,36,20.44,1726.31,1.5,8,2,0,web,north,1
C011904,2023-05-15,54,F,divorced,5,3134.62,permanent,190,31778.78,24,21.11,1883.07,1.5,4,5,0,branch,capital,1
C003375,2024-01-07,63,M,single,0,3279.54,unemployed,2,28795.88,24,25.06,1801.19,1.5,5,4,1,partner,south,1
C011575,2024-11-29,29,M,divorced,5,4376.54,permanent,305,5000.0,24,29.39,330.79,0.237,10,5,0,partner,west,0
C002825,2023-11-09,33,F,married,5,1638.37,permanent,289,28958.79,48,19.72,1079.24,1.5,4,6,0,web,north,0
C002384,2023-03-07,36,M,married,0,1621.21,contract,29,23479.71,36,18.11,1006.59,1.5,1,5,0,branch,north,1
C005277,2022-10-01,58,M,divorced,2,2571.3,permanent,166,56376.31,36,13.95,2221.26,1.5,5,6,0,web,capital,1
C012347,2024-05-09,27,F,divorced,4,3276.0,permanent,63,26217.75,24,24.7,1632.12,1.367,3,2,0,branch,north,1
C013651,2023-02-11,60,F,single,0,6685.47,contract,54,39764.58,48,24.1,1627.17,0.698,4,6,0,branch,capital,1
C008531,2024-02-13,48,F,divorced,2,2677.54,contract,46,12682.17,24,24.07,782.85,0.815,3,6,0,branch,north,1
C004529,2023-05-01,72,M,married,0,2758.84,permanent,58,40112.5,36,19.48,1765.56,1.5,8,0,0,branch,south,1
C004037,2024-01-21,36,F,divorced,5,4399.59,self_employed,205,25884.66,36,15.36,1050.32,0.669,6,3,1,branch,north,0
C010194,2024-01-25,73,F,married,1,3399.45,unemployed,3,37245.6,48,28.38,1656.68,1.399,4,1,0,web,east,1
C004332,2022-10-24,60,F,married,0,4534.87,permanent,197,7813.84,12,12.44,732.19,0.474,5,7,0,branch,east,0
C011395,2023-10-03,45,M,married,4,5538.31,contract,22,38175.57,60,23.77,1392.46,0.745,5,4,0,partner,north,1
C011628,2024-02-24,63,M,married,3,3082.03,contract,43,21594.19,48,18.67,785.93,0.668,0,7,0,web,north,0
C006683,2024-03-23,42,M,single,3,3511.57,contract,23,41001.5,24,21.06,2427.86,1.5,6,8,0,call_center,south,0
C003609,2023-11-08,42,F,married,2,4187.45,permanent,65,48710.31,60,12.93,1336.76,1.135,6,2,0,partner,south,1
C002060,2023-03-18,33,M,single,0,4110.85,permanent,134,25976.49,36,18.42,1120.32,0.747,7,6,0,branch,south,0
C013750,2022-09-05,27,M,married,1,2468.02,permanent,127,50930.35,24,14.36,2731.49,1.5,6,7,0,branch,capital,1
C002747,2022-09-03,20,F,married,5,4443.48,permanent,127,26838.08,48,13.06,851.17,0.705,3,0,0,branch,capital,0
C012911,2024-12-14,38,F,married,1,5118.58,permanent,240,23310.53,48,17.85,832.4,0.379,7,2,0,branch,south,0
C004172,2022-10-16,67,M,married,4,1714.32,unemployed,2,24339.6,24,14.65,1311.24,1.5,7,7,0,partner,north,1
C007283,2024-02-21,23,F,divorced,2,6674.46,self_employed,108,9510.7,48,18.65,345.96,0.088,3,8,0,branch,north,0
C007876,2023-12-12,31,F,single,4,1564.68,permanent,326,26359.44,48,12.06,814.11,1.5,6,3,0,web,capital,1
C000104,2022-01-09,56,F,married,1,2238.24,permanent,315,17501.18,24,14.87,946.16,1.172,7,0,1,call_center,north,1
C012838,2024-08-19,37,M,single,3,7932.68,self_employed,269,26983.48,48,13.48,865.25,0.34,9,5,0,branch,east,1
C009520,2024-10-17,62,F,widowed,5,4778.19,self_employed,276,18988.98,36,23.69,902.29,0.685,1,6,1,call_center,capital,0
C001531,2022-04-09,51,F,married,1,2213.31,self_employed,313,39448.23,60,20.23,1322.37,1.5,4,1,0,web,west,1
C010869,2023-02-07,26,F,single,2,2801.56,permanent,208,32235.25,36,8.0,1110.33,1.35,7,3,0,partner,capital,1
C007979,2023-05-31,18,F,married,0,1593.85,permanent,81,41990.09,36,10.36,1528.79,1.5,10,5,0,branch,south,1
C010373,2022-12-27,55,F,widowed,1,4974.78,permanent,269,5000.0,12,19.57,498.22,0.282,10,3,0,branch,capital,1
C004868,2022-12-20,29,M,divorced,1,4406.2,permanent,164,24307.21,12,16.39,2357.64,1.492,4,7,0,partner,south,1
C005963,2024-06-27,33,M,single,4,6019.41,permanent,327,19766.79,36,16.71,824.37,0.453,6,8,0,web,west,1
C014728,2024-06-20,26,F,married,3,9286.69,permanent,116,34302.44,60,12.84,938.83,0.156,1,1,1,branch,north,0
C001476,2022-11-27,48,F,single,0,5439.33,permanent,205,33459.83,36,21.6,1531.81,0.815,5,4,0,web,capital,0
C008606,2024-12-28,58,F,single,0,3082.1,permanent,184,21886.64,36,25.13,1066.4,0.905,5,2,0,branch,west,0
C011953,2024-01-13,21,F,single,5,3048.43,permanent,90,21782.41,60,19.86,723.5,0.627,2,6,0,call_center,north,1
C014179,2024-12-07,25,M,married,0,5283.93,permanent,353,25489.03,48,16.84,888.74,0.573,6,5,0,branch,north,1
C006122,2023-10-17,37,F,single,3,4835.93,permanent,272,41369.98,36,8.0,1424.97,1.001,3,8,0,web,north,1
C007123,2023-10-24,33,F,married,4,4133.07,permanent,119,14503.86,48,21.82,565.85,0.429,2,2,0,web,north,0
C012864,2023-04-29,50,F,married,3,5191.22,permanent,203,27063.32,36,16.06,1114.05,0.791,3,5,0,web,west,1
C003669,2023-04-12,39,F,divorced,4,5777.92,self_employed,62,32954.96,36,22.0,1519.49,0.711,5,5,0,branch,east,1
C006738,2022-05-28,58,M,married,2,4995.05,permanent,148,26662.17,36,10.78,980.22,0.633,7,3,0,partner,capital,0
C003824,2022-07-15,38,M,single,1,3215.51,self_employed,59,31668.19,24,9.42,1568.01,1.285,7,7,0,partner,capital,1
C001868,2024-04-12,55,F,married,2,1899.97,self_employed,89,34729.05,24,20.74,2047.35,1.5,3,8,0,partner,capital,1
C011202,2023-08-06,20,F,widowed,2,3671.72,permanent,346,36823.43,60,15.18,1079.67,0.853,6,7,0,call_center,north,1
C000639,2024-05-18,57,M,single,2,1575.71,permanent,209,26839.3,36,18.54,1160.25,1.5,9,4,0,call_center,capital,1
C000542,2022-03-02,21,M,married,5,7721.72,self_employed,83,21712.24,12,20.51,2180.45,0.853,7,1,0,web,north,1
C009617,2023-05-17,72,F,married,3,3535.7,permanent,314,26696.64,36,19.59,1177.37,0.807,6,2,0,web,west,1
C010215,2024-06-19,41,F,married,0,5048.62,permanent,107,30581.52,36,16.98,1282.18,0.964,4,4,1,web,west,1
C004834,2022-09-17,50,M,divorced,5,7422.46,unemployed,0,38877.39,36,18.09,1665.9,0.688,6,6,0,web,east,1
C011404,2022-04-17,18,F,single,0,3760.75,contract,57,40423.96,12,21.34,4087.52,1.5,5,4,0,partner,south,1
C014793,2023-05-14,29,F,married,5,2417.28,self_employed,116,13796.81,60,23.18,496.45,0.368,2,8,0,web,east,1
C012441,2023-03-20,54,M,married,5,1208.17,permanent,340,49867.05,60,19.25,1630.99,1.5,5,7,0,partner,north,1
C013811,2023-12-11,32,M,married,0,3524.82,unemployed,1,31025.06,24,18.42,1768.98,1.453,1,3,0,partner,capital,1
C008888,2024-09-25,32,F,married,4,1178.2,contract,18,39846.23,48,14.78,1321.06,1.5,7,5,1,web,capital,1
C011123,2022-10-11,71,M,married,0,2739.08,self_employed,274,49348.96,48,18.9,1805.55,1.5,1,2,0,partner,north,1
C007497,2024-04-15,48,M,married,5,1096.54,contract,52,27320.28,36,16.38,1131.72,1.5,0,1,0,branch,south,1
C003057,2024-05-28,71,F,married,5,5043.73,permanent,115,37681.09,36,8.54,1314.81,0.732,1,1,1,partner,north,0
C008910,2023-08-02,67,F,single,4,1884.86,permanent,101,36209.64,36,28.2,1856.76,1.5,5,5,0,call_center,capital,1
C010245,2022-04-27,41,M,married,2,1144.78,permanent,139,23293.87,36,11.12,862.92,1.5,10,1,0,partner,capital,1
C011024,2023-08-12,53,M,married,3,2097.38,permanent,11,30139.36,60,8.0,703.25,1.079,1,4,1,branch,north,1
C007704,2022-11-01,42,M,single,5,9561.09,permanent,349,33445.47,48,8.0,919.75,0.302,7,8,0,call_center,capital,1
C008662,2022-04-22,25,F,single,0,2036.77,permanent,202,44280.72,60,19.78,1467.88,1.5,6,7,1,web,east,1
C004563,2022-01-23,61,M,single,4,2698.43,contract,33,25583.41,60,17.11,791.2,0.809,0,0,0,partner,south,0
C011823,2023-09-14,36,F,single,5,3830.43,contract,36,31716.2,48,8.0,872.2,0.636,10,6,1,web,capital,1
C008853,2023-08-19,64,F,single,1,5815.68,permanent,192,36963.06,24,15.76,2025.65,1.001,8,7,1,branch,west,1
C011705,2022-04-20,60,M,single,4,3786.8,permanent,267,32428.15,36,19.93,1439.32,0.944,7,4,0,partner,capital,0
C008591,2023-03-26,74,F,married,1,2057.95,permanent,340,14961.13,36,8.0,515.33,1.175,2,3,1,web,capital,1
C006990,2022-05-22,67,M,single,1,4940.28,unemployed,5,31547.62,12,14.37,3006.75,1.5,1,7,1,partner,north,1
C007606,2022-12-09,73,M,single,5,2217.66,unemployed,3,16143.9,60,23.54,585.77,1.107,9,1,1,partner,capital,1
C010297,2023-10-01,20,F,married,1,3498.82,permanent,349,41360.16,36,23.26,1950.47,1.5,2,1,0,branch,north,0
C013026,2022-07-16,63,F,single,1,2063.11,permanent,168,22683.93,24,12.15,1174.76,1.5,6,2,0,branch,north,1
C005027,2022-10-06,23,F,married,5,1498.34,self_employed,247,32734.69,24,19.89,1906.39,1.5,3,4,0,partner,east,1
C002562,2023-01-28,52,F,widowed,4,4384.57,contract,50,30019.24,24,28.45,1962.41,1.315,1,0,1,partner,capital,1
C009203,2023-01-06,74,F,single,2,9237.06,contract,46,41861.05,48,10.18,1227.19,0.498,10,0,0,branch,west,1
C007436,2024-05-27,39,M,married,1,3945.01,permanent,184,28705.59,48,17.14,1007.99,0.857,9,5,0,web,south,1
C014180,2022-12-26,44,F,single,2,4324.82,contract,23,11770.63,36,17.53,498.93,0.248,5,7,0,web,south,0
C005236,2024-07-31,49,M,married,3,5326.27,contract,58,9540.68,36,27.13,480.7,0.38,9,2,0,branch,north,0
C003341,2023-08-16,34,M,married,3,4058.91,contract,20,40404.47,12,12.8,3798.14,1.5,10,8,0,partner,east,1
C011973,2023-09-17,25,M,single,2,1977.19,contract,3,13521.91,36,12.32,514.46,0.647,7,6,0,partner,east,0
C003480,2024-05-03,73,F,divorced,5,3048.14,permanent,12,30195.46,12,16.05,2920.16,1.5,9,5,0,partner,west,1
C003679,2023-08-13,55,M,married,0,1437.58,permanent,233,31796.22,36,16.5,1320.39,1.5,8,0,0,partner,capital,1
C011884,2023-10-13,24,F,single,2,3038.59,self_employed,38,35323.12,48,22.38,1394.61,1.34,4,2,1,branch,west,1
C013692,2022-03-29,40,F,married,0,2317.69,permanent,145,31761.46,24,21.56,1893.95,1.5,9,1,0,partner,east,1
C006971,2022-08-06,69,M,widowed,4,1592.76,contract,14,44724.79,36,18.43,1929.32,1.5,0,5,0,call_center,capital,1
C011754,2023-10-28,29,F,single,1,5963.37,contract,27,13885.63,36,13.86,546.06,0.164,2,0,0,web,capital,0
C013932,2023-09-11,56,M,divorced,1,5102.53,permanent,305,25329.43,36,17.19,1066.38,0.522,5,6,0,partner,south,0
